latitude,longitude,number,mean_temperature_C,minimum_temperature_C,maximum_temperature_C,mean_anomaly_C,minimum_anomaly_C,maximum_anomaly_C,warm_frequency,cold_frequency
1.5,36.0,0,28.429535,21.859528,35.8627,8.002112,6.6411858,10.080994,1.0,0.0
1.5,36.25,0,29.267426,23.597809,36.864655,8.840003,7.2575016,10.598572,1.0,0.0
1.25,36.0,0,28.170258,22.14859,35.421295,7.742836,6.065014,9.873962,1.0,0.0
1.25,36.25,0,27.38201,21.61148,35.095123,6.9545875,5.3505,8.694275,1.0,0.0
1.0,36.0,0,27.742523,20.084137,35.67325,7.3151016,5.1480436,9.049744,1.0,0.0
1.5,36.5,0,26.057465,20.242584,33.919342,5.630043,4.755273,6.6974716,0.9166666666666666,0.0
1.5,35.75,0,26.997568,19.728668,34.83145,6.570147,4.792575,8.125916,0.9166666666666666,0.0
1.0,36.25,0,26.418793,19.51773,34.767,5.991371,4.5816374,7.545128,0.8333333333333334,0.0
1.5,37.5,0,25.866058,20.588287,33.001373,5.438637,4.385601,6.3844547,0.8333333333333334,0.0
-1.5,36.25,0,25.800303,20.353668,33.227448,5.3728814,3.6353264,7.3236322,0.6666666666666666,0.0
0.75,36.0,0,26.50408,19.422028,34.112213,6.076658,4.4859343,7.592903,0.6666666666666666,0.0
0.5,36.0,0,25.362967,18.832184,33.305573,4.935544,3.5262814,6.7862625,0.5,0.0
0.75,35.75,0,24.957693,19.928131,30.845123,4.5302706,3.1676579,6.0592384,0.4166666666666667,0.0
1.25,35.75,0,25.117685,18.197418,32.415436,4.690264,3.261325,6.2099,0.3333333333333333,0.0
0.75,37.5,0,24.54363,17.79898,32.239655,4.116208,2.602929,5.0836716,0.25,0.0
1.0,35.75,0,25.04949,18.257965,31.765045,4.6220675,3.3218718,6.821228,0.25,0.0
0.75,36.25,0,24.566254,18.582184,32.569733,4.1388316,2.9247189,5.3478622,0.25,0.0
1.5,37.25,0,24.879568,18.802887,32.3627,4.4521456,3.5457573,5.4313297,0.16666666666666666,0.0
1.0,37.5,0,24.231619,18.447418,31.407623,3.8041964,2.9227104,5.303049,0.08333333333333333,0.0
-0.25,35.0,0,23.648447,17.855865,31.55655,3.2210257,1.9052124,5.073906,0.08333333333333333,0.0
1.25,37.5,0,24.683115,19.351715,31.72403,4.255694,3.1941948,5.3473454,0.08333333333333333,0.0
1.5,35.0,0,23.951996,17.33023,31.241608,3.524574,2.3941374,4.49107,0.0,0.0
1.5,35.25,0,22.536795,15.670074,29.856842,2.109372,0.73398113,3.1453667,0.0,0.0
1.25,35.5,0,17.388681,11.519684,23.872467,-3.03874,-4.1668625,-2.2357674,0.0,0.0
1.25,35.25,0,17.588552,11.652496,24.015045,-2.8388703,-3.9971313,-2.1592655,0.0,0.0
1.25,35.0,0,19.795746,13.775299,26.771393,-0.6316762,-1.8272095,0.36417198,0.0,0.0
1.5,36.75,0,23.665049,18.361725,31.208405,3.2376273,2.2042313,4.0628147,0.0,0.0
1.5,37.0,0,24.15512,18.408356,31.595123,3.727699,2.6788406,4.4651585,0.0,0.0
1.5,35.5,0,22.585623,15.201324,30.331451,2.1582,0.26523113,3.109581,0.0,0.0
1.0,35.0,0,19.164398,13.062408,26.531158,-1.2630239,-2.4346313,0.04851532,0.0,0.0
1.25,37.25,0,23.897959,18.224762,31.446686,3.4705374,2.3621635,4.558283,0.0,0.0
1.0,37.0,0,21.264984,15.232574,29.145905,0.8375621,0.20962906,1.9240341,0.0,0.0
1.0,36.75,0,19.026865,13.131012,26.919342,-1.4005564,-2.2173834,-0.30252838,0.0,0.0
1.0,36.5,0,21.033539,15.441803,29.151764,0.6061168,-0.045508385,1.9298935,0.0,0.0
1.0,35.25,0,17.305511,11.82608,23.839752,-3.1219103,-4.0928345,-2.1748905,0.0,0.0
1.0,35.5,0,17.754242,12.390778,23.796295,-2.6731803,-4.094597,-1.5889282,0.0,0.0
0.75,35.25,0,19.509775,14.127106,26.124908,-0.9176462,-1.6514282,-0.35773468,0.0,0.0
1.0,37.25,0,23.419607,17.42984,30.981842,2.9921846,2.1727104,3.9007053,0.0,0.0
0.75,35.0,0,21.226572,14.798737,28.954987,0.79915065,-1.0674438,2.4723434,0.0,0.0
0.75,35.5,0,20.467133,15.230621,26.434967,0.03971052,-0.93639374,1.0770874,0.0,0.0
0.75,36.5,0,20.986664,15.597809,29.179108,0.5592418,0.15984344,1.9572372,0.0,0.0
0.75,37.0,0,21.444834,14.716705,29.364655,1.0174123,-0.5231228,2.142784,0.0,0.0
0.75,36.75,0,19.605316,13.376862,27.34903,-0.8221059,-1.8629665,0.12715912,0.0,0.0
0.75,37.25,0,23.546072,16.703278,31.477936,3.1186495,1.6595697,4.2560654,0.0,0.0
0.5,35.0,0,20.556162,14.074371,28.060455,0.12874047,-1.2994146,1.5778122,0.0,0.0
1.25,36.75,0,20.960459,15.341949,28.66153,0.53303736,-0.13561249,1.4396591,0.0,0.0
1.25,37.0,0,22.583832,17.156403,30.214264,2.1564097,1.2703667,2.9923935,0.0,0.0
0.5,35.5,0,19.240732,14.516022,24.855377,-1.1866893,-2.4763565,-0.30508137,0.0,0.0
0.5,35.25,0,18.442719,13.062653,24.891998,-1.9847035,-3.1768188,-1.1321678,0.0,0.0
0.5,36.25,0,21.59197,15.425934,29.16153,1.1645478,0.21573448,2.2821655,0.0,0.0
0.5,35.75,0,23.358084,17.81485,29.468658,2.930661,1.6102657,4.4342384,0.0,0.0
0.5,36.75,0,19.807138,13.162018,27.38028,-0.62028295,-2.0778103,0.15840912,0.0,0.0
0.5,37.0,0,20.940277,13.828033,28.409576,0.51285505,-1.4117947,1.3043766,0.0,0.0
0.5,37.25,0,22.373056,15.88858,29.653717,1.945635,0.6487522,3.437189,0.0,0.0
0.5,36.5,0,19.63331,14.087799,27.513092,-0.7941111,-1.3362503,0.29122162,0.0,0.0
0.25,35.0,0,19.467947,13.994293,26.812408,-0.9594757,-2.741272,0.32976532,0.0,0.0
0.25,35.25,0,17.93279,12.531647,24.58731,-2.494632,-4.1240845,-1.3821678,0.0,0.0
0.25,35.5,0,18.30128,13.490631,23.923248,-2.1261423,-3.2986221,-1.1449251,0.0,0.0
0.25,35.75,0,20.844086,15.2836,27.031158,0.41666365,-0.7373905,1.8248634,0.0,0.0
0.25,36.0,0,23.577158,17.079987,31.190338,3.1497366,1.6122189,4.671028,0.0,0.0
0.25,36.25,0,19.23878,13.130768,26.612701,-1.1886424,-2.1090603,-0.2864647,0.0,0.0
0.25,36.5,0,18.447275,12.347809,26.018951,-1.9801463,-2.649024,-1.202919,0.0,0.0
0.5,37.5,0,23.704111,17.628815,30.784576,3.2766898,2.1803322,4.861017,0.0,0.0
0.25,36.75,0,19.248709,12.884674,26.782623,-1.1787139,-2.355154,-0.33678436,0.0,0.0
0.25,37.0,0,18.108084,12.23233,24.28067,-2.319339,-3.0074978,-1.3994999,0.0,0.0
0.25,37.5,0,19.794119,14.660065,25.892487,-0.6333038,-2.1224022,1.2125797,0.0,0.0
0.25,37.25,0,19.068857,13.869049,24.95108,-1.3585643,-2.343544,0.08172035,0.0,0.0
0.0,35.25,0,20.625174,14.908356,28.313873,0.19775088,-1.2432251,1.5699997,0.0,0.0
0.0,35.5,0,17.277191,12.11319,23.796295,-3.1502306,-4.0147095,-2.5775642,0.0,0.0
0.0,35.75,0,18.283539,12.515533,24.831451,-2.1438832,-2.7998905,-1.1907616,0.0,0.0
0.0,35.0,0,22.201181,16.377106,30.392487,1.77376,0.19818115,3.9098434,0.0,0.0
0.0,36.0,0,21.491385,15.070221,28.688385,1.0639619,-0.2823124,2.3580666,0.0,0.0
0.0,36.25,0,17.417816,11.304596,24.737701,-3.0096056,-3.9352322,-2.214199,0.0,0.0
0.0,36.75,0,18.667816,12.076324,26.100983,-1.7596059,-2.9821072,-0.47740936,0.0,0.0
0.0,36.5,0,16.327322,9.927887,23.71231,-4.1001005,-5.0082064,-3.5095596,0.0,0.08333333333333333
0.0,37.0,0,17.471365,11.619049,23.975494,-2.9560575,-3.9502563,-1.7842655,0.0,0.0
0.0,37.25,0,13.751801,9.64444,18.89737,-6.675621,-9.081825,-5.250394,0.0,1.0
0.0,37.5,0,14.36736,10.347565,19.439362,-6.060061,-8.189247,-4.4984407,0.0,0.6666666666666666
1.25,36.5,0,22.466318,16.201324,30.69278,2.0388968,1.1263666,3.470909,0.0,0.0
-0.25,35.25,0,21.312021,15.369049,29.440826,0.88459986,-0.13970947,2.6461716,0.0,0.0
-0.25,35.5,0,17.52117,12.046783,24.673248,-2.9062529,-3.4639282,-2.3646736,0.0,0.0
-0.25,36.0,0,19.303885,13.070221,26.378326,-1.1235381,-2.1696072,-0.23568344,0.0,0.0
-0.25,35.75,0,16.210459,10.57608,22.80606,-4.2169623,-4.663748,-3.6849022,0.0,0.0
-0.25,36.5,0,14.13559,8.037262,21.110748,-6.291832,-7.69643,-5.6370296,0.0,1.0
-0.25,36.75,0,16.604502,10.123199,23.487701,-3.8229196,-5.1104126,-2.7022343,0.0,0.08333333333333333
-0.25,37.0,0,17.162445,11.381012,23.54776,-3.2649767,-4.7576065,-1.9932499,0.0,0.0
-0.25,36.25,0,16.553558,10.546783,23.776764,-3.8738635,-4.6930447,-3.0653,0.0,0.0
-0.25,37.5,0,15.032562,11.472809,20.037994,-5.3948593,-8.015419,-3.4632845,0.0,0.5833333333333334
-0.5,35.0,0,21.12745,15.646393,27.915924,0.70002955,-0.17095947,1.433281,0.0,0.0
-0.5,35.25,0,18.821463,13.216705,25.45694,-1.60596,-2.0986938,-1.0257034,0.0,0.0
-0.5,35.5,0,16.776703,11.556549,23.415436,-3.650719,-4.3702583,-3.1865845,0.0,0.0
-0.5,35.75,0,15.156911,10.210846,21.202545,-5.2705107,-6.160469,-4.6488314,0.0,0.5833333333333334
-0.5,36.0,0,17.011078,11.216705,23.458405,-3.416344,-4.071375,-2.6255865,0.0,0.0
-0.5,36.25,0,17.369638,11.869049,24.434967,-3.057783,-3.7334843,-2.3875656,0.0,0.0
-0.25,37.25,0,13.443044,9.406403,18.469635,-6.9843774,-10.115028,-5.5296907,0.0,1.0
-0.5,36.75,0,14.10027,8.873199,19.864655,-6.327151,-7.600727,-4.9007015,0.0,0.75
-0.5,37.0,0,15.749359,10.871246,20.907135,-4.678063,-6.935341,-3.0686703,0.0,0.5
-0.5,37.25,0,18.574066,13.798737,24.371979,-1.8533559,-3.9275284,-0.6233578,0.0,0.0
